raison_sociale;ville;mobile;tel;email;siteweb
ROSHPINAHGROUP;Abidjan;+225 48471795;+225 22476777;roshpinahgroup@gmail.com;http://roshpinahtech.com
ONG;Abidjan;+225 40751607;+225 20200876;ong.agirensemble@gmail.com;https://dev.agirensemble-ci.org
Human Capital Labor;Abidjan;+225 47911059;+225 21264112;kytheod@yahoo.fr;http://hclcarrierepro.com
triangle;Abidjan;+225 59480730;+225 594804730;ismaelsilu@yahoo.fr;http://www.cinetcore.ci
SARL;ABIDJAN;+225 07520193;+225 20307636;cyao@districash.net;http://www.districash.net
PES-IVOIRE;Abidjan;+225 07134130;+225 23451024;contact@pes-ivoire.net;http://www.pes-ivoire.net
GROUPE ASSANDY;YAMOUSSOUKRO;+225 77301450;+225 30645002;hermannerickonan@gmail.com;http://groupeassandy.com
Alternative World International;Abidjan;+225 79033334;+225 57387766;guyboka@cash360world.com;http://www.cash360world.com
ROYAL GROUP INVEST&DEVELOPMENT;Abidjan;+225 07970328;+225 06578720;atobenou@gmail.com;http://www.m3-internationale.com
GLOBAL FREEDOM;Yamoussoukro;+225 47414501;+225 59933122;gozjunior@yahoo.fr;http://globalfreedom.fr
OOPENDA;Abidjan;+225 08446869;+225 22002902;lemuel.yokoi@oopenda.com;http://oopenda.com
Jedidia Communication;Abidjan;+225 22431276;+225 58402269;admin@lagriculteur.net;http://www.lagriculteur.net
ONG AMOUR SANS LIMITE;ABIDJAN;+225 08008281;+225 23465575;marienadegekoffy@gmail.com;http://www.ongamoursanslimite.com
Ecommerce;Marysville;+1 (206) 566-4206;+1 (662) 279-7690;djibril.diabate@gmail.com;http://eecs.us
Rosle Stores Technology;Abidjan/ Cote d'Ivoire;+225 58138606;+225 20010262;kalou@shoprsc.com;http://acadi.ci
CARTO-CI;Abidjan;+225 09413857;+225 77040561;compteretrait@gmail.com;http://www.mobiladdress.com
WORLDWEBSERVICE;ABIDJAN;+225 46451276;+225 59949131;worldwebservice1@gmail.com;http://www.cinetpay.com
TOP PROS;ABIDJAN;+225 58281702;+225 09291734;toppros.ci@gmail.com;http://www.toppros.ci
Association ACTIVES;Abidjan;+225 09111141;+225 22510377;karidjatad@gmail.com;http://www.actives.ci
YOUMANN;Dakar;+221 772240358;+221 338243925;arshadtoure@gmail.com;https://www.kalimbe.com
STUDIO23;Abidjan;+225 07473760;+225 22490282;metchosnou@gmail.com;http://www.studio23.ci
Complexe Hotélier la baie des Romances;Jacqueville ;+225 07569373;+225 07231048;gmscorpci@gmail.com;http://labaiedesromances.com/
ROLLS;Abidjan;+225 08030755;+225 20006037;banouan@gmail.com;http://www.ebook700.com
ONG;SASSANDRA;+225 08954694;+225 34720571;afriqueverteenvironnement@gmail.com;https://afriqueverteenvironnement.blogspot.com
225Market;Abidjan;+225 08109932;+225 41071650;hermail42@gmail.com;https://www.225market.com
ENV;Abidjan;+225 09171271;+225 21275366;celineedwige@yahoo.fr;http://ensemblenousvaincrons.com
TINEXPRESS;ABIDJAN;+225 07483106;+225 21281913;paulkpangni6@gmail.com;http://www.tin-express.net/
ENTREPRISE;ABIDJAN;+225 08624752;+225 08624752;peggy@peggyballou.com;http://www.peggyballou.com
IDSmart;Abidjan;+225 07876464;+225 22006684;guyappiah@yahoo.com;http://www.idsmart.pro
SmartPAY;Abidjan;+225 77771313;+225 22006684;cyrille.jean-baptiste@outlook.com;http://www.idsmart.mobi
ENTREPRISE;abidjan;+225 07077442;+225 07077442;issoufou@amiral-boutique.com;http://www.amiral-boutique.com/
LE BLOGUEUR UTILE;Abidjan;+225 08987266;+225 05969297;leblogueurutile@gmail.com;http://www.papapat.com
SOLIDARITE INTERNATIONALE;ABIDJAN;+225 59781533;+225 59781533;don.foday@gmail.com;http://www.solidaritelifecash.com
OSCHOOL;Abidjan;+225 58450600;+225 21360766;yaodavidarmel@gmail.com;http://oschool.ci
IDSmartPay;Abidjan;+225 07876464;+225 22410583;idsmart@outlook.com;http://www.idsmartpay.com
IINTERNATIONAL FUNDS INVESTMENT;Abidjan;+225 09779639;+225 22 41 20 46;support@interfundsinvestment.com;http://www.interfundsinvestment.com
ENTERPRISE TEAMMATE;Abidjan;+225 48057646;+225 07677460;boris.ncho@enterpriseteammate.com;http://www.enterpriseteammate.com
Guanxi Investment;Douala;+237 693434472;+237 69434472;info@guanxi-invest.com;http://www.guanxi-invest.com
SYNERGIES;Conakry;+224 628053860;+224 656900498;synergiescontact@yahoo.fr;http://www.libertiis.com
GROUPE HORINF;ABIDJAN;+225 09198907;+225 09198907;louamanga@yahoo.fr;http://www.groupe-horinf.com
ONG ADN Internationale;Abidjan;+225 57684284;+225 22412449;desirea@adn-ci.org;http://www.adn-ci.org
I-MONEY LTD;Abidjan;+225 08919686;+225 25212422;sales@imc.ci;http://www.imci.ci
NC3;Abidjan;+225 05337413;+225 24385939;dezouahe@gmail.com;http://www.nouveauchallenge3.com
FONDS MONÉTAIRE POUR LE COMMERCE INTERNATIONAL;Cotonou;+229 66513625;+229 21008497;piradcomp@gmail.com;http://www.fondsmci.eu
Mandev sarl;Abidjan;+225 05980534;+225 24000046;info@mandev-ci.net;http://www.mandev-ci.net
GELEC sarl;Âbidjan;+225 07065223;+225 21014297;gelecsarl@yahoo.fr;http://www.gelec-sarl.com
DHS CI;Abidjan;+225 08919686;+225 08919686;daniel.dindji@dhs.ci;http://dhs.ci
INTELSA AFRICA GROUP;ABidjan;+225 78580605;+225 22445509;dokan.diarrassouba@intelsafrica.com;http://www.intelsafrica.com
Footnexion ;Ecaussinnes;+225 89590454;+225 89590454;elvisnda@footnexion.com;http://footnexion.com
OPENMIND;Abidjan ;+225 07028070;+225 22447370;eugene.kadet@lejournaldeleconomie.info;http://www.lejournaldeleconomie.info
MAGIC AND CHIC;PARIS;+33 7 69 04 73 96;+33 7 69 04 73 96;contact@magic-and-chic.com;http://www.magic-and-chic.com/index.php
GM GLOBAL MARKET;Abidjan;+225 08667107;+225 22016192;gomontmartine@gmail.com;http://www.izycash.biz
FIN'INVEST;Abidjan;+225 57905072;+225 22486161;fininvest40@gmail.com;http://www.financertoutprojet.net
Afrinal;Abidjan;+225 78194334;+225 78194334;cissecedric@afrinal.com;http://www.afrinal.cpù
MOMOSOFTS - GLOBSOLUTIONS;ABIDJAN;+225 78661467;+225 20311499;ahmad24fof@gmail.com;http://momosofts.com
HADEM Solutions - Akwaba;Abidjan;+225 07113210;+225 07113210;hadem-solution@outlook.com;http://hadem.azurewebsites.net/
1978;abidjan;+225 78136163;+225 22010377;admin@adsf.biz;http://www.adsf.biz
oceanic services;abidjan;+225 45173021;+225 58444211;oceanicservices01@gmail.com;http://fanclub-ibk.org
Afrikap group;Abidjan;+225 22436735;+225 09525460;info@joinciel.org;http://www.afrikapgroup-ci.com/
Croix Rouge;Abidjan;+225 20321335;+225 20321335;croixrouge@pharmacy.ci;http://www.croixrougeci.org/
Talkeetna Limited;Limassol;+357 910298309;+357 22008373;b2b@1xbet.com;http://asprobet.com
EMERGIT SARL;Abidjan;+225 08272923;+225 21375404;marcnahounou@gmail.com;http://emergit.net
KOEWELL;Abidjan;+225 03796689;+225 03796689;kabran.jonathan@gmail.com;https://www.onvendtout.ci
SABICASH;ABIDJAN;+225 59186326;+225 59186326;sabicash2@gmail.com;http://www.sabicash.ci
MOUMINE GROUP;KORHOGO;+225 57677467;+225 36863777;konate.mohamed98@gmail.com;http://mahoss.esy.es
wenceslas-corporation;Abidjan;+225 53646813;+225 58847399;wehoumannguetta@gmail.com;http://wenceslas-service.000webhostapp.com
Cours Secondaire Catholique Saint ;Bingerville;+225 02042705;+225 22403014;contact@petit-seminaire-de-bingerville.net;http://petit-seminaire-de-bingerville.net/
TEST - ZEtote System Ltd;Valletta;+356 00000000;+356 000000;butler@zeturf.com;http://www.beta.zeturf.com
JARS TECHNOLOGIES;BOUAKE;+225 77094341;+225 22454156;arthurouongo@gmail.com;http://www.jarstechnologies.com
ICARE ;Abidjan;+225 01015262;+225 67770955;direction@icare-voyages.com;http://www.icare-voyages.com
GRADUAL INNOVATION;ABIDJAN;+225 09785430;+225 21004657;franck@waicebon.com;http://www.gradinn.net
paiement en ligne sur le site nawari;Abidjan;+225 57248479;+225 57248479;applinawari92@gmail.com;http://www.nawari.africawebfestival.com
Eliket EDI;Abidjan;+225 07676745;+225 22460944;angemartialkoffi@outlook.fr;http://www.babilauto.com
DIVAM INTEGRA SERVICES;Abidjan;+225 77796072;+225 22434660;admin@divamintegra.ci;http://www.divamintegra.ci/
MUSLIM EVENT;ABIDJAN;+225 59596128;+225 05126421;camaramail@yahoo.com;http://www.mouslimevent.com
Pharmy;Orsay;+33 6 79 93 64 57; +33169287449;alex.traime.1402@hotmail.fr;http://pharmy.fr
AFRIMA TECHNOLOGIES SARL;Yamoussoukro;+225 75202174;+225 49166627;info@afrimatk.com;http://www.afrimatk.com
TRANSFER4AFRICA - BY CINETPAY;Abidjan;+225 52332164;+225 09818479;adoni.andreas@cinetpay.com;https://transfer4africa.com
IzyConnect;GRAND BASSAM;05857777;21003030;parfait.kouadio@live.fr;http://www.izyconnect.com
"O.live Imprimerie Num&eacute;rique";Abidjan;08528503;21268960;alexandre.koffi@olive-ci.com;http://www.olive-ci.com
MAK TECHNOLOGIES ;ABIDJAN;47695975;07494326;info@tmak.org;http://boutique.maktechnologies.org/index.php
Ivoire Taxi ;Abidjan ;78626897;78626897;taxiivoire@icloud.com;http://www.taxiivoireci.com
Webpro CI;Abidjan;57199256;20355949;kids.ouattara@gmail.com;http://wegetpro.com
Diskova;Abidjan;59262600;21573542;adam@diskova.com;http://www.diskova.com
Restaurant DJIBERPOL;Abidjan;48404048;48404048;djiberpol@cinetpay.com;http://cinetpay.com
INTELLIGENCE MULTIMEDIA;Abidjan;09171219;22427751;moicoulibaly@intelligence.ci;http://www.intelligence.ci/
SIDEV;ABIDJAN;09999236;09999236;angebadouon2005@gmail.com;http://www.lindik.net
INDIGIT SYSTEMS;ABIDJAN;07662282;21324594;kiwienka@yahoo.fr;https://www.indigitsystems.com
Alternativ corporation;Abidjan;59534930;59534930;ln@lebelngoran.com;http://lebelngoran.com/
LSFA;Tunis;29507004;29507004;cinetpay@sports4africa.com;https://newtest.sports4africa.com/sport.jsp
Leroiani Services;BAMAKO;79269577;79269577;contact@leroiani.net;https://www.leroiani.net
TOGET;ABIDJAN;07147134;22008004;pooda.ettien@gmail.com;http://www.togetop.com
nano-services;abidjan;47109522;23464909;gouliensf@gmail.com;http://nanoservicesci.com
"E-ENCH&Egrave;RES DE BABY SARL";Abidjan;43912535;43912535;jeanecrabet@gmail.com;http://www.eencheresdebaby.net
QseOnline;ABIDJAN;07018897;07018897;youotothierry@gmail.com;http://www.qseonline.com
Hardship Shelter;Pierrefonds;5146039888;5146039888;kokokra@gmail.com;http://www.hardshipshelter.org
"Ko&#039;t Sud";Abidjan;56663646;56663646;contact@kotsud.com;https://www.kotsud.com
PLENITUDE;Abidjan;07089783;07089783;splenitude2@gmail.com;https://plenimarket.myshopify.com
Hirondelle Afrique;Abidjan;49640342;22467143;erndri28@gmail.com;http://www.leshirondellesci.com
PopShopCI;Abidjan;57508447;57505448;kojoessilfie@gmail.com;http://www.popshopci.com
MONCONFORT;ABIDJAN;09941101;89991186;joelhala42@gmail.com;http://www.monconfort.ci
EURL;ABIDJAN;57110235;57110235;itejai.arei@gmail.com;http://stepbystep.ci
"COLL&Egrave;GE TECHNIQUE DU KAN";TIEBISSOU;09219125;09219125;collegetechniquedukan@gmail.com;http://www.collegetechniquedukan.ci
Enrouteci;Abidjan;07966309;07966309;enroutecicovoiturage@gmail.com;http://enrouteci.com
SHELTER COMPAGNIE;Abidjan;59031819;59031819;sheltercompagnie034@gmail.com;http://sheltercompagnie.com
KOUMAN_FIRME;Abidjan;59498670;59498670;sidoine.kouakou@cinetpay.com;http://test.test
SARL;Abidjan ;08410026;23451499;info@initialgroupe.ci;http://initialgroupe.ci
DAN CORPORATION;Abidjan;08047870;22455340;sandrine.anani@dan-corporation.org;http://www.dan-corporation.org
"MCI CARE COTE D&#039;IVOIRE";Abidjan;20316562;20316550;rembsms@mcicareci.com;http://www.mcicareci.com
"FEYMIE&#039;S";ABIDJAN;56881199;22415730;sanata@noely.info;http://www.feymies-products.ci
"KEYO C&ocirc;te d&#039;Ivoire";Abidjan;09448039;57626161;dorgeles_kouame@hotmail.fr;https://www.keyo.ci
ASURAMU Sarl;Cotonou;+22997488051;+22997488051;asuramu.bj@gmail.com;http://www.melecwebstore.com
Association Alden;Abidjan;47857285;47857285;aldenassociation@gmail.com;http://www.associationalden.org
DIVINE IVOIRE SARL;Abidjan;09391103;21268161;ventes@divinestyles.ci;http://divinestyles.ci
vitatree;Abidjan;07797490;22001960;alexandre@vitatreesr.net;http://vitatreesr.net
GROUPE SIRC  SA;Dimbokro;43300064;43300064;groupesircsa@sircgroupe.ci;http://sircgroupe.ci
ALDA  VOYANCE;Abidjan;48861684;65573503;aldavoyance2014@gmail.com;http://facebook.com/docteur.alda
SARL;ABIDJAN;59525159;59525159;akonan.bidis@yahoo.fr;http://www.weekendcity.org
QUICKCASH;Abidjan;07660213;20322535;alhassane.coulibaly@quickcashci.com;http://quickcashci.cim
KANS;Abidjan;07427417;24385516;lasspascal@gmail.com;http://kansinformatique.net/
Bridge;Abidjan;87037661;87037661;jean-marc.mercy@thebridge-franklincovey.com;http://thebridge-franklincovey.com
Ventenligne;Abidjan;77363166;77363166;noulyame@yahoo.fr;https://aliexpress.com
PRESTA SERVICES;Abidjan;07098037;22435787;gpedia1@gmail.com;http://www.cashbanker.net
"Groupe MITCOM&#39;s";Conakry;625464119;625464119;abarry@groupe-mitcoms.com;http://www.groupe-mitcoms.com
HERROM-GROUP;Abidjan;58196824;47768000;infos@skyros-rose.com;https://skyrose-rose.com
DYNAMO DIGITAL SARL;Abidjan;59302928;21323529;albanmlan@gmail.com;http://dynamodigital225.com
"Soci&eacute;t&eacute; de Solutions Informatique et divers";Abidjan;09206161;09206161;aristidesouomi@yahoo.fr;http://2sid-ci.com
Chalkboard Education;Abidjan;85414193;261404680;chalkboard.edu@gmail.com;http://www.chalkboard.education/
INFOTRONIQUE;Abidjan;09753232;22410393;psomet@infotronique.ci;http://infotronique-ci.com/
eMousso;Abidjan;07689431;07689431;finances@emousso.ci;https://emousso.ci
EdenMatik;BOUAKE;02639382;31632468;edenmatik@gmail.com;http://edenmatik.fr.gd
PETRODOLLARD PRODUCTION;Abidjan;57 05 73 83;57 05 73 83;pahafolo.coulibaly@e-musicivoire.com;http://www.e-musicivoire.com
RAS;YAOUNDE;671934343;671934343;onzemillions18@gmail.com;http://cabral2018.com
KIWI GROUP SARL;ABIDJAN;08334132;08334132;romualdnguettia@kiwigroup.ci;http://www.kiwigroup.ci
Multiconsult Gestion SARL;Abidjan;77902046;22488076;econews.mcg@gmail.com;http://www.econews.news
ONG MEVACI;Anyama;57242931;57242931;ongmevaci@gmail.com;http://ongmeva.ci
AFRICA DATA INTELLIGENCE;Abidjan;05892116;22524884;axelle@afriveille.com;http://www.afriveille.com
HOME TECHNOLOGY;ABIDJAN;57117867;01011802;mouchiby@gmail.com;http://www.technologyh.com
MTK Consulting;Abidjan;08061127;22465840;khassoumkone@yahoo.fr;http://www.ecohada.com
L2M;ABIDJAN;08291607;08291607;bdanho.flavien@gmail.com;http://www.lemaintenancier.com
Ets ECMO;Abidjan ;55206034;55206034;josephlebossseur@gmail.com;Https://www.ecmo
Ivorian Food;Abidjan;07732618;07732618;ivorianfood@gmail.com;http://ivorianfood.com/
INVENT STUDIO CORPORATION;Abidjan;47471989;23464471;contact@invent-studio.com;https://invent-studio.com
GROUPE EMMANUEL;Abidjan;05441118;05441118;manager@emmatec.net;http://www.emmatec.net
Cybera;Aboisso;40874288;20392835;sidoinekassi23@gmail.com;http://CinetPay.com
OMONGO TV;Abidjan;67635074;22465273;omongooma@gmail.com;http://www.omongotv.com
HYPERACCESS SYSTEMS;Abidjan;49119598;22492957;kouya@hyperaccesss.com;http://hyperaccesss.com/
KDOLIS;Trechville;78667062;78667062;yag@kdolis.com;http://www.kdolis.com
AYEKA;Abidjan;79549150;79549150;contact.ayeka@gmail.com;http://ayeka.com
Willytc ;Abidjan ;07082634;07082634;jeanwilly24@gmail.com;http://www.cinetpay.com
LOLOMATHS CORPORATION;Abidjan;02131303;09750584;marcdiambra@yahoo.fr;http://www.lolomaths.com
EBASICSYSTEME;GRAND-BASSAM;68212142;84550006;michelassian@gmail.com;http://winnerscours.net
Adamabc;Abidjan ;67408740;67408740;adamasano27@gmail.com;http://www.cinetpay.com
MICROSTORE;COTONOU;71196161;95006161;info@dfs-consulting.net;http://www.dfs-consulting.net
Chap-Shop;ABIDJAN;58409258;58409258;chapshopstore@gmail.com;http://www.chap-shop.ci
Ets;Yaounde;670632412;670632412;attouh2002@swapps.cm;https://swapps.cm
VINTAGE;Abidjan;46097704;22402005;yann.kouassi@vintageci.com;http://www.vintageci.com
VENAME SARL;Abidjan;22423777;08919686;infos@vename.ci;http://www.vename.ci
KeeCash;Saint Jacques de la Lande;665192934;665192934;buy@keecash.com;http://www.keecash.com
AGM HOLDING;Abidjan;07876464;07876464;contact@group-agm.com;http://www.group-agm.com
PAYMESAFE;ABIDJAN;09538772;22006993;pmsaccount@paymesafe.com.ci;http://paymesafe.com
ONG BOYE;Abidjan;07461707;46236737;alaincyriaquekouakou@yahoo.fr;http://www.ongboye.com
MIXX NIGHT CLUB;Abidjan;58238262;58238262;mixxnightclubm@gmail.com;http://mixnightclub.ci
PATSHTECNO;LUBUMBASHI;843198894;843198894;patshmulomba@yahoo.fr;http://www.patshtecno.com
ECOMART;Abidjan;02200536;02200536;ecomartshop@gmail.com;http://ecomart.com
ZAHRA TECH;Abidjan;09201818;09201818;info@zahratech.net;http://www.zahratech.net
"Commerce G&eacute;n&eacute;ral, Ev&egrave;mentiel, Etudes";Abidjan;79733465;79733465;richards@francophonie3535.com;http://www.association3535.club
"BIBLIOTH&Egrave;QUE NUM&Eacute;RIQUE ";Abidjan;49866869;49866869;bibliothequenumeriqueistc@gmail.com;https://bibliothequenumeriqueistc.000webhostapp.com/
CSN;Abidjan;47088913;22449292;christsn2018@gmail.com;http://www.christpourlesalutdesnations.org
boss boutique;abidjan;01672544;01672544;maitresidib@gmail.com;https://www.goafricaonline.com/en/ci/393100
Fondation Quietude;ABIDJAN;+22507974114;+22507974114;jr.ikole@gmail.com;http://www.jeanroger.net
MIENSAH GROUP;TOUMODI;78811648;78811648;infosmiensahgroup@gmail.com;http://www.miensahgroup.com
FRIENDS TEAM;Abidjan;08761709;21375379;asl1987@live.fr;https://www.friendsteam.xyz
Wassapharma;Abidjan;48606366;48606366;tiebasile@gmail.com;http://wassapharma.com
DZONA FILS;BANDRELE;639393882;639393882;jao.mouhamad@hotmail.fr;http://www.dzonafils.fr
DIGICOM MEDIA;Abidjan;46001760;46001760;manukassi@gmail.com;https://www.voituresolidarite.ci
SARL;Abidjan;77947372;22465273;fatim@omongotv.com;http://omongotv.com
AfriConcours Organisation;OUAGADOUGOU;73627373;73627373;badv_saf@yahoo.fr;http://africoncours.com
ONG ANA;SAN-PEDRO;08969766;08969766;ongana16@gmail.com;http://www.ongana.com
Mon Eglise Catholique;Abidjan;08930620;08930620;info@moneglisecatholiqueci.com;http://www.google.fr
svam;Abidjan;07318822;22428243;adjajoel90@gmail.com;http://www.alpha-assist.com
Sarl;Abidjan;77399999;20364037;info@ivoiresante.net;http://www.ivoiresante.net
Izybees;Abidjan;08638912;08638912;andryanaka@gmail.com;http://www.izybees.com
AfriConcours Organisation;OUAGADOUGOU;76642050;25365599;africoncours@gmail.com;http://africoncours.com
NA;Port Vila;96119169;96119169;payments@ubanker.com;https://www.ontega.com/
CHARITY CONSTRUCTION SARL;ABIDJAN;02090935;77005804;busol@smici.net;http://busol.smici.net
FAMILYS;Libreville;07177200;07177200;myfamilys080@gmail.com;http://myfamilys.ga
INEXA SARL;Abidjan;89035645;22459476;boris.assoi@inexa-ci.com;http://www.inexa-ci.com
Aide aux pronos;Naujac sur Mer;669910034;669910034;contact@aideauxpronos.com;http://aideauxpronos.com
AchatLivre;Kinshasa;810141889;810141889;jn.divine71@gmail.com;https://www.achatlivre.org
AFRIK DIEZ (Diez Star);Bamako;76597408;65867946;diezstar1@gmail.com;http://www.diezstar.com
cubiq technologies;Abidjan;84314670;84314670;ritesmassamba@gmail.com;http://www.cubiq.tech
"Bont&eacute; Divine";Abidjan;0634467956;06334467956;residencebontedivine@gmail.com;http://www.residencebontedivine.com
sa;abidjan;48875315;48875315;matta225@yahoo.fr;http://charms-ci.com/
Eifells Hotels;Abidjan;07433131;22493232;dosso@eifellshotels.com;http://www.eifellshotels.com
AFrica Change Life;Cotonou;61839277;62506059;emileede6183@gmail.com;http://africa-changelife.org
AUTOMOTRASCI INTERNATIONAL;Abidjan;48232282;21375318;pierrerodolpheagnero@gmail.com;https://www.automototrasci.com/
PENIEL SYNERGY;ABIDJAN;75776091;75776091;niamkeyannick7@gmail.com;http://www.penielsynergy.ci
Agence de voyage FINEX;"Yaound&eacute;";697510832;697510832;jbatassi@yahoo.com;http://www.finexsvoyages.com
Infos Courses;Abidjan;05051946;21347426;ibra@aviso.ci;https://www.lexperthippique.com
EventQuick;Abidjan;07077799;07077799;admin@eventquick.net;http://www.eventquick.net
Lyss Consulting;Douala;671316248;671316248;xavier.bette@lyssconsulting.com;https://lyssconsulting.com
LIENSURE;Abidjan;  07 65 76 07;  07 65 76 07;infos@liensure.ci;http://liensure.ci
ENTREPRISE;ABIDJAN;89313886;89313886;brahimademamou@gmail.com;http://brahima.org
premierbet;home;0737747039;0774606242;a.cioltei@editec.co;http://premierbet.cm
PayMeSafe;ABIDJAN;09538772;22006993;paymesafe@outlook.com;http://www.paymesafe.com.ci
AFRICA IT;Abidjan;49728924;49728024;kodjosama@gmail.com;http://africa-it.net
TAGA;Abidjan;638276530;638276530;cissemohameda@yahoo.com;http://www.taga.ci
SARL;ABIDJAN;07076558;22435512;houkamiguyzagn@gmail.com;http://houkamiguyzagn.com
Sedjro Media Solution;Cotonou;66009776;60301144;th.creativeminds@gmail.com;https://assigan.tk
BOWOULANKRO;ABIDJAN;07832258;22420579;sica@bowoulankro.com;http://cms.bowoulankro.com
ORGANIIZ;Abidjan;07130222;07130222;info@organiiz.com;https://organiiz.com
MPS Holding;Abidjan;68368464;20305080;stephane.kouakou@mps-holding.com;http://www.mps-holding.com
CLEVERTECH SOLUTIONS;ABIDJAN ;89423452;89423452;e-commerce@atheaci.com;http://www.atheaci.com
GESIMA Groupe;Grand-Bassam;59082507;21296717;serge.mbra@gesimagroupe.com;https://www.gesimagroupe.com
LAPOPOTE;BOUAKE;08034280;08034280;soboh_renaud@yahoo.fr;http://www.lapopote.ci
BATIRNET.CI;Abidjan;49931771;22004617;webmaster@batirnet.ci;https://www.batirnet.ci
Eworld Entreprise;Abidjan;07445222;21581649;houzoukpo@gmail.com;http://eworldentreprise.com
KYNUX TECHNOLOGIES;Abidjan;48247793;21366878;raziz@kynux.biz;http://kynux.biz
"Association des Anciens El&egrave;ves de Bingerville";Abidjan;09837254;20012034;jpehouman@gmail.com;http://www.aaebingerville.org
"KIRO&#039;O GAMES";"Yaound&eacute;";674908592;694430638;register@kiroorebuntu.com;http://www.kiroogames.com
ROUACH;BOUAKE;08392339;31635750;kahnnam@yahoo.fr;http://www.collet-turf.com
OURA CORPORATE;Abidjan;48510139;48510139;epubgroupe@gmail.com;http://www.epubgroupe.com
SON2BABY;ABIDJAN;09362302;09362302;info@son2baby.com;http://www.son2baby.com
GOOROO AFRIQUE ;Abidjan;09503754;22438377;goorooafrique@gmail.com;http://www.goorooafrique.com
Except;Abidjan;07197337;22458357;vinymilliardss@gmail.com;http://www.exceptgroup.com
41DEVS;calavi;67068242;66434766;bernard-marie.onzo@41devs.com;http://41devs.com/
GENIE CONCEPT PLUS;ABIDJAN;47399989;47399989;businessbulding01@gmail.com;http://www.developperbusiness.com
5MAGESTIK;Abidjan;59201790;59201790;magestik06@live.fr;https://www.5magestik.com
SITE INTERNET;Abidjan;09577615;09577615;2karnaud@gmail.com;https://alltaxci.com/
NKSL Brain;Abidjan;77123335;77123335;nkorosolocorp@gmail.com;"https://play.google.com/store/search?q=nksl+brain&amp;c=apps"
LEGIAFRICA;Paris;665112734;665112734;douglas.fotso@yahoo.fr;https://legiafrica.com/
ETS;yaounde;655478156;655478156;nyemael@yahoo.com;http://b-free.xyz
Aewake;Abidjan;84144890;22418072;marcel@aewake.net;http://aewake.net
Leader Solutions;Abidjan;08681465;08681465;ksemmail@gmail.com;http://leadersolutions.xyz
BLITT CAPITAL MANAGEMENT AND CONSULTING;ABIDJAN;67380662;224228222;consult@blittcapital.com;http://www.blittcapital.com
Farmerline Limited;Accra;248682889;248682889;albert@farmerline.co;http://farmerline.co
YINAVA;LOME;628922418;628922418;lawson.audrey@hotmail.fr;http://YINAVA.COM
CIME;ABIDJAN;+22558633607;+22558633607;cimesoft.ci@gmail.com;http://cimetech-ci.com
ETS PROMAGRIC;DOUALA;696960054;696960054;pyrruskoudjou@yahoo.fr;https://v2.prom-agric.com
Globalis SARL;Abidjan;09639680;09639680;contact@globalis.ci;http://www.globalis.ci
leconcierge;abidjan;07692420;07692420;leconcierge@caramail.fr;http://leconcierge.ci
PHARMACIE NELSON MANDELA;DAKAR;772202269;338212172;pharmaciemandela1@gmail.com;http://madgid.sn/pharmacies/pharmacie-nelson-mandela
"Abl&egrave;l&egrave;";Abidjan;06455353;56221111;ephrem.brou@ablele.net;http://ablele.net/
Excell Services;Abidjan;07185873;07185873;mppekrac@gmail.com;http://www.mien-ci.com
TECHNOLOGY MARKET;Abidjan;49388424;49671762;technology.market2018@gmail.com;http://www.t-market.ci
BEERSHEBA GROUP;Abidjan;08158124;08158124;services@beershebagroup.com;http://www.beershebagroup.com
S-CASH PAYMENT;Abidjan;65622925;65622925;fundigogroup@gmail.com;http://www.scash.ci
Groupe Media Smart;SAN PEDRO;49969232;34000301;kone1904@yahoo.fr;http://gestion-ci.net
INTELLO;Abidjan;08007816;08007816;simon_kelysee@protonmail.com;http://www.intello.com
CRYSTAL EXPRESS;ABIDJAN;+22547078485;+22547078485;jeanmichelateby@gmail.com;http://www.daum.fr
Qelasy SA;Abidjan;67502117;22008926;it@qelasy.com;https://qelasy.com
Baby Lab Challenge;ABIDJAN;+22548671804;+22548671804;guiako.o@gmail.com;http://baby-lab.org
ASCOMA CI (AIRTIME);"Abidjan, plateau";07971956;20300300;mohamadou.sanogo@ascoma.com;http://www.ascoma.com
SA;Abidjan;+22547078485;+22547078485;jean.ateby@groupensia.com;http://nsiaassurances.ci
KIWI GROUP SARL;Abidjan;08334132;08334132;compte@kiwiart.ci;http://www.kiwiart.ci
camerboutique;yaounde;6146196958;6146196958;dalyeu@yahoo.fr;https://www.camerhightech.com
CodeSprt;Abidjan;09525460;09525460;mory.dosso@codesprt.com;http://www.agilly.net
Sarl;Abidjan;48459868;48459868;adamsbonnie93@gmail.com;https://playstation.ci
DI-DIA SERVICES;ABIDJAN;57405013;57405013;02punarvasu@gmail.com;https://didia.com
zoeplus shop;ABIDJAN;79425800;79425800;yaotanohfranck@yahoo.fr;http://zoeplushop.com
GNRA SARL;Yamoussoukro;49166627;07728856;gnra-ci@afrimatk.com;http://www.gnra-ci.com
"Management &amp; Funding Resaerch";Abidjan;43029108;20011214;b.legre@mfr-ci.com;http://mfr-ci.com
"Produits et Services H&ocirc;teliers";Grand-Bassam;88889090;40151515;produitsetserviceshoteliers@gmail.com;http://ivoirhotel.com
Skyway capital;Bouafle;47747805;47747805;bkouewadan@gmail.com;"https://new.skyway.capital/auth/login?do=register&amp;partner_id=305768"
